x y
480.66515572826796 201.1687966643362
907.5765842992301 406.49910987192777
1204.290182291775 610.1384860069572
508.65265642814165 185.33399587672196
898.0576034396875 405.4400020021151
901.1547993401571 404.8117120730949
485.09643913499553 186.7441577337715
101.79332399120469 991.132438136577
507.977113852503 201.38776126665428
507.7329330089686 196.9557448064751
85.43863020744443 985.4484969672011
902.4921401110563 404.6916027165336
294.5893210125331 502.81152635762294
309.3960203278116 501.487373233627
93.09711583762342 1000.057262065947
1201.8673736182386 587.7125567491793
294.62868230817844 502.6462716803708
96.83823236330367 998.3756304149612
1188.1706234203195 594.0450944260972
110.08377452134638 983.268493160621
114.7709386329186 1001.9877122038431
1190.8853217898425 600.4302432091553
1200.4479718916582 595.8672859506019
109.85683249781582 988.6220190972501
899.5619688366545 391.31328612752924
279.37177385432966 505.3864484730954
508.9519243801378 214.42074254377602
304.01171569556016 500.45409746176057
1200.320641061066 597.9319086886611
304.4372595782186 511.5309521917435
1199.6761159328998 592.2181329256439
891.6485392854257 381.0097800972599
488.4749212992745 189.53904179649982
1195.6627103957314 582.4382398446295
295.93625749015615 511.95508953071317
895.1544131066828 390.53584427137554
893.4826839446022 407.4327769166303
306.8006859736149 497.22342197345563
493.9756983801362 204.45162404522895
295.49304550044536 491.92535353218943
1212.6431960856103 591.6948312328644
881.7465269120944 407.9705382314491
103.68236756477295 988.6679430540282
91.22385997229465 1000.8895582476645
302.01663779665637 512.9985656757243
477.81176387290947 214.6511544020564
1195.9113203092866 595.2394718518333
500.2344652359328 199.24600201466922
97.19574656378465 990.8057878397777
900.534590510049 396.3496546496107
